fai_mean,datetime,rednir_mean,valid_px,rednir_std,ndwi_mean,scene_id,ndwi_std,tile,fai_std,chlor_a,kd490,flh,year,month,season,hab_label
0.0421377196907997,2018-09-29 06:56:51.024000+00:00,0.9059388637542723,16384,1.788139343261719e-07,-0.1600859314203262,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,1.4901161193847656e-08,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0000.jpg,7.450580596923828e-09,0.946864,0.0979,0.336352,2018,9,autumn,0
0.0421377196907997,2018-09-29 06:56:51.024000+00:00,0.9059388637542723,16384,1.788139343261719e-07,-0.1600859314203262,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,1.4901161193847656e-08,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0001.jpg,7.450580596923828e-09,0.946864,0.0979,0.336352,2018,9,autumn,0
0.0395934581756591,2018-09-24 06:56:19.024000+00:00,0.9157702922821044,16384,1.1920928955078125e-07,-0.1448828876018524,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,2.9802322387695312e-08,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0000.jpg,0.0,0.946864,0.0979,0.336352,2018,9,autumn,0
0.0395934581756591,2018-09-24 06:56:19.024000+00:00,0.9157702922821044,16384,1.1920928955078125e-07,-0.1448828876018524,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,2.9802322387695312e-08,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0001.jpg,0.0,0.946864,0.0979,0.336352,2018,9,autumn,0
0.0470229387283325,2018-09-19 06:56:21.024000+00:00,0.9113800525665284,16384,1.1920928955078125e-07,-0.163395419716835,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,0.0,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,0.0,0.384632,0.0626,0.23686,2018,9,autumn,0
0.0470229387283325,2018-09-19 06:56:21.024000+00:00,0.9113800525665284,16384,1.1920928955078125e-07,-0.163395419716835,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,0.0,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0001.jpg,0.0,0.384632,0.0626,0.23686,2018,9,autumn,0
0.0424590334296226,2018-09-14 06:56:19.024000+00:00,0.8981236815452576,16384,0.0,-0.1677370965480804,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,2.9802322387695312e-08,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434_0000.jpg,7.450580596923828e-09,0.384632,0.0626,0.23686,2018,9,autumn,0
0.0424590334296226,2018-09-14 06:56:19.024000+00:00,0.8981236815452576,16384,0.0,-0.1677370965480804,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,2.9802322387695312e-08,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434_0001.jpg,7.450580596923828e-09,0.384632,0.0626,0.23686,2018,9,autumn,0
0.0420393347740173,2018-09-09 06:56:21.024000+00:00,0.8946921825408936,16384,1.788139343261719e-07,-0.1705683767795562,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028,2.9802322387695312e-08,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg,0.0,1.51576,0.1302,0.456075,2018,9,autumn,1
0.0420393347740173,2018-09-09 06:56:21.024000+00:00,0.8946921825408936,16384,1.788139343261719e-07,-0.1705683767795562,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028,2.9802322387695312e-08,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0001.jpg,0.0,1.51576,0.1302,0.456075,2018,9,autumn,1
