tile,scene_id,datetime,month_key,kd490,chlor_a,nflh,nflh_z,chl_z,hab_label,hab_label_heuristic
S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339_0000.jpg,S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339,2017-05-24 06:46:31.026000+00:00,2017-05,0.0316,0.104382,0.0461199,-0.3311064675284558,1.1409561558002799,0,1
S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339_0001.jpg,S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339,2017-05-24 06:46:31.026000+00:00,2017-05,0.0316,0.104382,0.0461199,-0.3311064675284558,1.1409561558002799,0,1
S2A_MSIL2A_20170703T064621_R020_T40RDP_20210210T040347_0000.jpg,S2A_MSIL2A_20170703T064621_R020_T40RDP_20210210T040347,2017-07-03 06:46:21.026000+00:00,2017-07,0.0786,0.561206,0.172458,0.48609699596634615,0.7724370131116504,0,1
S2A_MSIL2A_20170703T064621_R020_T40RDP_20210210T040347_0001.jpg,S2A_MSIL2A_20170703T064621_R020_T40RDP_20210210T040347,2017-07-03 06:46:21.026000+00:00,2017-07,0.0786,0.561206,0.172458,0.48609699596634615,0.7724370131116504,0,1
S2B_MSIL2A_20171006T064719_R020_T40RDP_20210202T145017_0000.jpg,S2B_MSIL2A_20171006T064719_R020_T40RDP_20210202T145017,2017-10-06 06:47:19.027000+00:00,2017-10,0.071,0.481284,0.161465,2.0161227031385667,2.11594433526985,0,1
S2B_MSIL2A_20171006T064719_R020_T40RDP_20210202T145017_0001.jpg,S2B_MSIL2A_20171006T064719_R020_T40RDP_20210202T145017,2017-10-06 06:47:19.027000+00:00,2017-10,0.071,0.481284,0.161465,2.0161227031385667,2.11594433526985,0,1
S2B_MSIL2A_20171105T065029_R020_T40RDP_20201014T182558_0000.jpg,S2B_MSIL2A_20171105T065029_R020_T40RDP_20201014T182558,2017-11-05 06:50:29.027000+00:00,2017-11,0.0518,0.239346,0.0548749,-0.19251349475938012,2.0288834692319724,0,1
S2B_MSIL2A_20171105T065029_R020_T40RDP_20201014T182558_0001.jpg,S2B_MSIL2A_20171105T065029_R020_T40RDP_20201014T182558,2017-11-05 06:50:29.027000+00:00,2017-11,0.0518,0.239346,0.0548749,-0.19251349475938012,2.0288834692319724,0,1
S2B_MSIL2A_20171115T065119_R020_T40RDP_20201014T200318_0000.jpg,S2B_MSIL2A_20171115T065119_R020_T40RDP_20201014T200318,2017-11-15 06:51:19.027000+00:00,2017-11,0.0414,0.104083,0.337245,9.143611530625652,-1.052969741381677,0,1
S2B_MSIL2A_20171115T065119_R020_T40RDP_20201014T200318_0001.jpg,S2B_MSIL2A_20171115T065119_R020_T40RDP_20201014T200318,2017-11-15 06:51:19.027000+00:00,2017-11,0.0414,0.104083,0.337245,9.143611530625652,-1.052969741381677,0,1
S2B_MSIL2A_20180223T064849_R020_T40RDP_20201014T003814_0000.jpg,S2B_MSIL2A_20180223T064849_R020_T40RDP_20201014T003814,2018-02-23 06:48:49.027000+00:00,2018-02,0.0588,0.259298,0.17209,2.00814288262734,-0.8984793786953414,0,1
S2B_MSIL2A_20180223T064849_R020_T40RDP_20201014T003814_0001.jpg,S2B_MSIL2A_20180223T064849_R020_T40RDP_20201014T003814,2018-02-23 06:48:49.027000+00:00,2018-02,0.0588,0.259298,0.17209,2.00814288262734,-0.8984793786953414,0,1
S2B_MSIL2A_20180305T064739_R020_T40RDP_20201026T051111_0000.jpg,S2B_MSIL2A_20180305T064739_R020_T40RDP_20201026T051111,2018-03-05 06:47:39.027000+00:00,2018-03,0.0402,0.124011,0.132437,1.1212647549192134,-1.427431406335037,0,1
S2B_MSIL2A_20180305T064739_R020_T40RDP_20201026T051111_0001.jpg,S2B_MSIL2A_20180305T064739_R020_T40RDP_20201026T051111,2018-03-05 06:47:39.027000+00:00,2018-03,0.0402,0.124011,0.132437,1.1212647549192134,-1.427431406335037,0,1
S2B_MSIL2A_20180315T064629_R020_T40RDP_20201013T092614_0000.jpg,S2B_MSIL2A_20180315T064629_R020_T40RDP_20201013T092614,2018-03-15 06:46:29.027000+00:00,2018-03,0.0572,0.22878,0.0955901,0.20372675826083175,1.2454530999350113,0,1
S2B_MSIL2A_20180315T064629_R020_T40RDP_20201013T092614_0001.jpg,S2B_MSIL2A_20180315T064629_R020_T40RDP_20201013T092614,2018-03-15 06:46:29.027000+00:00,2018-03,0.0572,0.22878,0.0955901,0.20372675826083175,1.2454530999350113,0,1
S2A_MSIL2A_20180320T064621_R020_T40RDP_20201013T113227_0000.jpg,S2A_MSIL2A_20180320T064621_R020_T40RDP_20201013T113227,2018-03-20 06:46:21.026000+00:00,2018-03,0.0572,0.22878,0.0955901,0.20372675826083175,1.2454530999350113,0,1
S2A_MSIL2A_20180320T064621_R020_T40RDP_20201013T113227_0001.jpg,S2A_MSIL2A_20180320T064621_R020_T40RDP_20201013T113227,2018-03-20 06:46:21.026000+00:00,2018-03,0.0572,0.22878,0.0955901,0.20372675826083175,1.2454530999350113,0,1
S2A_MSIL2A_20180628T064621_R020_T40RDP_20201012T031832_0000.jpg,S2A_MSIL2A_20180628T064621_R020_T40RDP_20201012T031832,2018-06-28 06:46:21.024000+00:00,2018-06,0.1046,1.0845,0.142255,-0.1444361781884248,4.219999865021739,0,1
S2A_MSIL2A_20180628T064621_R020_T40RDP_20201012T031832_0001.jpg,S2A_MSIL2A_20180628T064621_R020_T40RDP_20201012T031832,2018-06-28 06:46:21.024000+00:00,2018-06,0.1046,1.0845,0.142255,-0.1444361781884248,4.219999865021739,0,1
S2A_MSIL2A_20180708T064631_R020_T40RDP_20201011T131710_0000.jpg,S2A_MSIL2A_20180708T064631_R020_T40RDP_20201011T131710,2018-07-08 06:46:31.024000+00:00,2018-07,0.117,1.28222,0.570145,1.221211719827721,3.758534918976011,0,1
S2A_MSIL2A_20180708T064631_R020_T40RDP_20201011T131710_0001.jpg,S2A_MSIL2A_20180708T064631_R020_T40RDP_20201011T131710,2018-07-08 06:46:31.024000+00:00,2018-07,0.117,1.28222,0.570145,1.221211719827721,3.758534918976011,0,1
S2A_MSIL2A_20180728T064631_R020_T40RDP_20201011T205420_0000.jpg,S2A_MSIL2A_20180728T064631_R020_T40RDP_20201011T205420,2018-07-28 06:46:31.024000+00:00,2018-07,0.1194,1.07883,0.228615,-0.4483455072113341,2.917029885929402,0,1
