tile,scene_id,datetime,month_key,kd490,chlor_a,nflh,nflh_z,chl_z,hab_label,hab_label_heuristic
S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041_0000.jpg,S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041,2017-06-06 06:56:21.026000+00:00,2017-06,0.0874,0.776011,0.32883,0.6744907567095862,0.6744907575858698,0,1
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0000.jpg,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,2017-08-25 06:56:21.026000+00:00,2017-08,0.0738,0.57676,0.235755,0.6744907377196478,1.1520259952124114,0,1
S2A_MSIL2A_20180201T070111_R063_T39QXG_20201013T174623_0000.jpg,S2A_MSIL2A_20180201T070111_R063_T39QXG_20201013T174623,2018-02-01 07:01:11.026000+00:00,2018-02,0.118933,1.20884,0.589822,2.063880493398456,0.0,0,1
S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500_0000.jpg,S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500,2018-02-21 06:59:11.026000+00:00,2018-02,0.3286,4.08212,0.400995,0.0,3.3742975563566295,0,1
S2A_MSIL2A_20180701T065621_R063_T39QXG_20201011T104015_0000.jpg,S2A_MSIL2A_20180701T065621_R063_T39QXG_20201011T104015,2018-07-01 06:56:21.024000+00:00,2018-07,0.0943,0.906392,0.42845,1.0390621954939014,3.3054689961438544,0,1
S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110_0000.jpg,S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110,2018-08-30 06:56:21.024000+00:00,2018-08,0.075,0.575683,0.382635,1.4305361089648256,1.3489814437910312,0,1
S2A_MSIL2A_20190117T070221_R063_T39QXG_20201008T021414_0000.jpg,S2A_MSIL2A_20190117T070221_R063_T39QXG_20201008T021414,2019-01-17 07:02:21.024000+00:00,2019-01,0.0806,0.656402,0.356923,0.674490754420214,0.674490746866057,0,1
S2A_MSIL2A_20190206T070051_R063_T39QXG_20201007T142408_0000.jpg,S2A_MSIL2A_20190206T070051_R063_T39QXG_20201007T142408,2019-02-06 07:00:51.024000+00:00,2019-02,0.0794,0.648246,0.363,0.0,0.707546445561658,0,1
S2A_MSIL2A_20190226T065841_R063_T39QXG_20201007T204648_0000.jpg,S2A_MSIL2A_20190226T065841_R063_T39QXG_20201007T204648,2019-02-26 06:58:41.024000+00:00,2019-02,0.0732667,0.561704,0.415105,0.6744907507454221,0.23618287609322305,0,1
S2A_MSIL2A_20190318T065621_R063_T39QXG_20201007T074707_0000.jpg,S2A_MSIL2A_20190318T065621_R063_T39QXG_20201007T074707,2019-03-18 06:56:21.024000+00:00,2019-03,0.0512,0.298279,0.466275,25287000.000000004,-227731999.99999997,0,1
S2A_MSIL2A_20190815T065631_R063_T39QXG_20201005T003451_0000.jpg,S2A_MSIL2A_20190815T065631_R063_T39QXG_20201005T003451,2019-08-15 06:56:31.024000+00:00,2019-08,0.0494,0.245151,,0.0,245151000.0,0,1
S2A_MSIL2A_20190825T065621_R063_T39QXG_20201005T043538_0000.jpg,S2A_MSIL2A_20190825T065621_R063_T39QXG_20201005T043538,2019-08-25 06:56:21.024000+00:00,2019-08,0.1034,1.04291,0.100123,100123000.0,1042909999.9999999,0,1
S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142_0000.jpg,S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142,2020-01-02 07:03:01.024000+00:00,2020-01,0.0578667,0.387999,0.330983,3.209043603911622,0.0,0,1
