tile,scene_id,datetime,month_key,fai_mean,rednir_mean,ndwi_mean,kd490,chlor_a,nflh,sst,month_sin,month_cos,ndwi_std,rednir_std,hab_label,hab_label_heuristic,hab_label_final
S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944_0000.jpg,S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944,2017-01-04 06:52:52.026000+00:00,2017-01,0.0053180307149887,0.9110667705535888,-0.0943393781781196,0.0726,0.50938,0.19606,26.81,0.4999999999999999,0.8660254037844387,7.450580596923828e-09,1.1920928955078125e-07,0,0,0
S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944_0001.jpg,S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944,2017-01-04 06:52:52.026000+00:00,2017-01,0.0053180307149887,0.9110667705535888,-0.0943393781781196,0.0726,0.50938,0.19606,26.81,0.4999999999999999,0.8660254037844387,7.450580596923828e-09,1.1920928955078125e-07,0,0,0
S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822_0000.jpg,S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822,2017-04-14 06:46:21.026000+00:00,2017-04,0.0111409723758697,0.8599137663841248,-0.1577676236629486,0.0356667,0.0911651,0.0602583,30.68,0.8660254037844387,-0.4999999999999998,0.0,0.0,0,0,0
S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822_0001.jpg,S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822,2017-04-14 06:46:21.026000+00:00,2017-04,0.0111409723758697,0.8599137663841248,-0.1577676236629486,0.0356667,0.0911651,0.0602583,30.68,0.8660254037844387,-0.4999999999999998,0.0,0.0,0,0,0
S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341_0000.jpg,S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341,2017-05-04 06:46:31.026000+00:00,2017-05,0.0334950983524322,0.9825419783592224,-0.118795521557331,0.0286,0.0745402,0.04561,31.32,0.4999999999999999,-0.8660254037844387,1.4901161193847656e-08,1.1920928955078125e-07,0,0,0
S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341_0001.jpg,S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341,2017-05-04 06:46:31.026000+00:00,2017-05,0.0334950983524322,0.9825419783592224,-0.118795521557331,0.0286,0.0745402,0.04561,31.32,0.4999999999999999,-0.8660254037844387,1.4901161193847656e-08,1.1920928955078125e-07,0,0,0
S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339_0000.jpg,S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339,2017-05-24 06:46:31.026000+00:00,2017-05,0.0146688520908355,0.8904259204864502,-0.136960357427597,0.0316,0.104382,0.0461199,30.055,0.4999999999999999,-0.8660254037844387,1.4901161193847656e-08,1.788139343261719e-07,0,1,1
S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339_0001.jpg,S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339,2017-05-24 06:46:31.026000+00:00,2017-05,0.0146688520908355,0.8904259204864502,-0.136960357427597,0.0316,0.104382,0.0461199,30.055,0.4999999999999999,-0.8660254037844387,1.4901161193847656e-08,1.788139343261719e-07,0,1,1
S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408_0000.jpg,S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408,2017-06-13 06:46:21.026000+00:00,2017-06,0.0,0.0,0.0,0.0474,0.214499,0.158745,27.8,1.2246467991473532e-16,-1.0,0.0,0.0,0,0,0
S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408_0001.jpg,S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408,2017-06-13 06:46:21.026000+00:00,2017-06,0.0,0.0,0.0,0.0474,0.214499,0.158745,27.8,1.2246467991473532e-16,-1.0,0.0,0.0,0,0,0
