scene_id,tile,score,thr,pred,ytrue,jpg_0,jpg_1
S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,1.0,0.4242098010844034,1,1,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0001.jpg
S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320,S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0000.jpg,1.0,0.4242098010844034,1,1,S2B_MSIL2A_20180226T065829_R063_T39QWG_20201104T153636_preview.jpg,S2B_MSIL2A_20180226T065829_R063_T39QWG_20201104T153636_preview.jpg
S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500,S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500_0000.jpg,0.996272800475545,0.4242098010844034,1,1,S2A_MSIL2A_20180221T065911_R063_T39QWG_20201013T234450_preview.jpg,S2A_MSIL2A_20180221T065911_R063_T39QWG_20201013T234450_preview.jpg
S2A_MSIL2A_20230205T070101_R063_T39QXG_20230206T042309,S2A_MSIL2A_20230205T070101_R063_T39QXG_20230206T042309_0000.jpg,0.972560126896701,0.4242098010844034,1,1,S2A_MSIL2A_20230205T070101_R063_T39QWG_20230206T045240_preview.jpg,S2A_MSIL2A_20230205T070101_R063_T39QWG_20230206T045240_preview.jpg
S2B_MSIL2A_20190112T070239_R063_T39QXG_20201008T005855,S2B_MSIL2A_20190112T070239_R063_T39QXG_20201008T005855_0000.jpg,0.945526307489686,0.4242098010844034,1,0,S2B_MSIL2A_20190112T070239_R063_T39QXG_20201008T005855_0000.jpg,S2B_MSIL2A_20190112T070239_R063_T39QXG_20201008T005855_0001.jpg
S2A_MSIL2A_20230205T070101_R063_T39QXG_20240817T062535,S2A_MSIL2A_20230205T070101_R063_T39QXG_20240817T062535_0000.jpg,0.9158796489489424,0.4242098010844034,1,1,S2A_MSIL2A_20230205T070101_R063_T39QWG_20230206T045240_preview.jpg,S2A_MSIL2A_20230205T070101_R063_T39QWG_20230206T045240_preview.jpg
S2A_MSIL2A_20200221T065911_R063_T39QXG_20200927T132322,S2A_MSIL2A_20200221T065911_R063_T39QXG_20200927T132322_0000.jpg,0.8341909079968137,0.4242098010844034,1,0,S2A_MSIL2A_20200221T065911_R063_T39QXG_20200927T132322_0000.jpg,S2A_MSIL2A_20200221T065911_R063_T39QXG_20200927T132322_0001.jpg
S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0000.jpg,0.8334755984301307,0.4242098010844034,1,0,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0000.jpg,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0001.jpg
S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142,S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142_0000.jpg,0.8321132834144739,0.4242098010844034,1,1,S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142_0000.jpg,S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142_0001.jpg
S2A_MSIL2A_20190127T070141_R063_T39QXG_20201008T050026,S2A_MSIL2A_20190127T070141_R063_T39QXG_20201008T050026_0000.jpg,0.8257555647588728,0.4242098010844034,1,0,S2A_MSIL2A_20190127T070141_R063_T39QWG_20201008T050015_preview.jpg,S2A_MSIL2A_20190127T070141_R063_T39QWG_20201008T050015_preview.jpg
S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,0.7873454861325427,0.4242098010844034,1,0,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0001.jpg
S2A_MSIL2A_20190904T065621_R063_T39QXG_20201004T090539,S2A_MSIL2A_20190904T065621_R063_T39QXG_20201004T090539_0000.jpg,0.7713767848687021,0.4242098010844034,1,1,S2A_MSIL2A_20190904T065621_R063_T39QWG_20201004T090531_preview.jpg,S2A_MSIL2A_20190904T065621_R063_T39QWG_20201004T090531_preview.jpg
S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0000.jpg,0.76449967286238,0.4242098010844034,1,0,S2A_MSIL2A_20180929T065651_R063_T39QWG_20201009T060700_preview.jpg,S2A_MSIL2A_20180929T065651_R063_T39QWG_20201009T060700_preview.jpg
