tile,scene_id,hab_label,p_tab,month_key,date_key,region_key,frcnn_r50,frcnn_mb,frcnn_ssd
S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041_0000.jpg,S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041,1,0.6015805631360138,2017-06,2017-06-06,T39QXG,,,
S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612_0000.jpg,S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612,0,0.5135175559588143,2017-06,2017-06-26,T39QXG,,,
S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556_0000.jpg,S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556,0,0.5442691163963258,2017-08,2017-08-05,T39QXG,0.5074470043182373,0.22889361530542368,0.47315514087677
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0000.jpg,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,1,0.4408036266384656,2017-08,2017-08-25,T39QXG,0.5074470043182373,0.22889361530542368,0.47315514087677
S2A_MSIL2A_20180112T070231_R063_T39QXG_20201014T050638_0000.jpg,S2A_MSIL2A_20180112T070231_R063_T39QXG_20201014T050638,0,0.5900006422740217,2018-01,2018-01-12,T39QXG,0.9553364515304564,0.1341497153043747,0.4333246350288391
S2A_MSIL2A_20180201T070111_R063_T39QXG_20201013T174623_0000.jpg,S2A_MSIL2A_20180201T070111_R063_T39QXG_20201013T174623,1,0.773275989927013,2018-02,2018-02-01,T39QXG,,,
S2A_MSIL2A_20180211T070021_R063_T39QXG_20201026T022414_0000.jpg,S2A_MSIL2A_20180211T070021_R063_T39QXG_20201026T022414,0,0.4637850629675346,2018-02,2018-02-11,T39QXG,,,
S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500_0000.jpg,S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500,1,0.9887899189704688,2018-02,2018-02-21,T39QXG,,,
S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226,1,1.0,2018-03,2018-03-03,T39QXG,0.8830333948135376,0.2754085610310236,0.5622045695781708
S2A_MSIL2A_20180313T065651_R063_T39QXG_20201013T082101_0000.jpg,S2A_MSIL2A_20180313T065651_R063_T39QXG_20201013T082101,0,0.5068803804747041,2018-03,2018-03-13,T39QXG,0.8830333948135376,0.2754085610310236,0.5622045695781708
S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706_0000.jpg,S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706,0,0.3870444019813486,2018-03,2018-03-23,T39QXG,0.8830333948135376,0.2754085610310236,0.5622045695781708
S2A_MSIL2A_20180701T065621_R063_T39QXG_20201011T104015_0000.jpg,S2A_MSIL2A_20180701T065621_R063_T39QXG_20201011T104015,1,0.7375502234065345,2018-07,2018-07-01,T39QXG,0.4354408979415893,0.1199859753251075,0.3442471027374267
S2A_MSIL2A_20180820T065621_R063_T39QXG_20201011T042051_0000.jpg,S2A_MSIL2A_20180820T065621_R063_T39QXG_20201011T042051,0,0.3336786933737917,2018-08,2018-08-20,T39QXG,,,
S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110_0000.jpg,S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110,1,0.3216479542178775,2018-08,2018-08-30,T39QXG,,,
S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028,1,0.7347060429343389,2018-09,2018-09-09,T39QXG,,,
