plant_id,month,n_chips,hab_mean,hab_p95,hab_max,frac_ge_05,frac_ge_08,risk
osm_way_449632054,2017-02,2,0.3541206880603397,0.3641541920777756,0.3652690258574907,0.0,0.0,low
osm_way_449632054,2017-04,2,0.3865394605123974,0.39145802264048535,0.3920045295436062,0.0,0.0,low
osm_way_449632054,2017-06,2,0.42389677904340795,0.43302951610774326,0.4340442646704472,0.0,0.0,medium
osm_way_449632054,2017-07,2,0.4211539207807129,0.4211539207807129,0.4211539207807129,0.0,0.0,medium
osm_way_449632054,2017-08,4,0.3799533508727669,0.41580079500397127,0.4182505092943596,0.0,0.0,medium
osm_way_449632054,2017-10,4,0.3816293996781799,0.39273670016234785,0.3948445341995593,0.0,0.0,medium
osm_way_449632054,2017-11,6,0.39190559801255714,0.40490304852608705,0.4068459465552435,0.0,0.0,medium
osm_way_449632054,2017-12,2,0.4604620119083112,0.46695164802977,0.4676727187099321,0.0,0.0,medium
osm_way_449632054,2018-01,4,0.3920708289578137,0.398494410499931,0.398494410499931,0.0,0.0,medium
osm_way_449632054,2018-02,4,0.43603258619589347,0.49650460618547576,0.4978309455134366,0.0,0.0,medium
osm_way_449632054,2018-03,2,0.3745494775553061,0.3784520786967735,0.3788857010458254,0.0,0.0,low
osm_way_449632054,2018-04,4,0.3846306315545829,0.4067148236746007,0.4080514779887755,0.0,0.0,medium
osm_way_449632054,2018-05,8,0.4389319169597931,0.5080768428862025,0.5080768428862025,0.25,0.0,medium
osm_way_449632054,2018-06,4,0.44573190813445956,0.4726969600427601,0.4750767929382913,0.0,0.0,medium
osm_way_449632054,2018-07,2,0.63707520312978,0.63707520312978,0.63707520312978,1.0,0.0,high
osm_way_449632054,2018-08,8,0.46578365571385294,0.5602672677861866,0.5602672677861866,0.375,0.0,high
osm_way_449632054,2018-09,6,0.3948405760517939,0.4118457062581223,0.4139133239972854,0.0,0.0,medium
osm_way_449632054,2018-10,4,0.37454322587705374,0.3854457022016003,0.3862954075080145,0.0,0.0,low
osm_way_449632054,2018-11,4,0.35065805238517406,0.37428354596615543,0.3768317244959377,0.0,0.0,low
osm_way_449632054,2018-12,2,0.4796059842538184,0.4796059842538184,0.4796059842538184,0.0,0.0,medium
osm_way_449632054,2019-01,4,0.40583081563222134,0.46278712412375467,0.4681526692823258,0.0,0.0,medium
osm_way_449632054,2019-02,4,0.3403731455641786,0.35136871805298087,0.3536601728282664,0.0,0.0,low
osm_way_449632054,2019-03,4,0.37337643049794716,0.38815656379358143,0.3897925983961266,0.0,0.0,low
osm_way_449632054,2019-04,6,0.38998902536930663,0.4139042024155341,0.4139042024155341,0.0,0.0,medium
osm_way_449632054,2019-05,4,0.3929800928978562,0.40446790978533237,0.4063176013439475,0.0,0.0,medium
osm_way_449632054,2019-06,6,0.4476994890886606,0.5174439897684763,0.5196528865587731,0.3333333333333333,0.0,medium
osm_way_449632054,2019-07,2,0.4855287340925427,0.5027791600780164,0.5046958740764024,0.5,0.0,medium
osm_way_449632054,2019-08,6,0.4294044520008531,0.5526519384847124,0.5629089656529638,0.3333333333333333,0.0,high
osm_way_449632054,2019-09,4,0.3927338205083647,0.4065980712166336,0.407811361258885,0.0,0.0,medium
osm_way_449632054,2019-10,6,0.3741180926832181,0.4039166231423521,0.4039166231423521,0.0,0.0,medium
osm_way_449632054,2019-11,2,0.4180360805434568,0.4180360805434568,0.4180360805434568,0.0,0.0,medium
osm_way_449632054,2019-12,2,0.3936629268784551,0.40091413680225857,0.4017198267937923,0.0,0.0,medium
osm_way_449632054,2020-01,2,0.4332321081263113,0.4332321081263113,0.4332321081263113,0.0,0.0,medium
osm_way_449632054,2020-03,6,0.3779208066748618,0.38705753764791506,0.3875604298936217,0.0,0.0,low
osm_way_449632054,2020-04,2,0.4056444135512249,0.41466074874420744,0.41566256376565,0.0,0.0,medium
osm_way_449632054,2020-05,8,0.42523456270306814,0.45083485645911936,0.4544947889503768,0.0,0.0,medium
osm_way_449632054,2020-06,4,0.40889727588242963,0.4283899984352848,0.4318848694961666,0.0,0.0,medium
osm_way_449632054,2020-07,4,0.43244062313645837,0.4621396796515178,0.4643909261346972,0.0,0.0,medium
osm_way_449632054,2020-08,4,0.4607249728522243,0.4892494080071313,0.4892494080071313,0.0,0.0,medium
osm_way_449632054,2020-09,8,0.41741593651488756,0.5081418178400553,0.5117051653832766,0.25,0.0,medium
osm_way_449632054,2020-10,4,0.391124408654158,0.4067824893455279,0.4074548026041214,0.0,0.0,medium
osm_way_449632054,2020-11,4,0.37998535657835497,0.390918646211886,0.3911382361642962,0.0,0.0,low
osm_way_449632054,2020-12,6,0.37416421706579617,0.38679508783605226,0.3871059423439204,0.0,0.0,low
osm_way_449632054,2021-01,4,0.4949882766637235,0.6087303358105027,0.6087303358105027,0.5,0.0,high
osm_way_449632054,2021-02,8,0.3927938152593402,0.45344438391636066,0.4617465628948005,0.0,0.0,medium
osm_way_449632054,2021-03,4,0.38785393618588415,0.40319765212451025,0.4054880293969889,0.0,0.0,medium
osm_way_449632054,2021-04,6,0.37707912457834486,0.38329079695190016,0.3839321662566809,0.0,0.0,low
osm_way_449632054,2021-05,4,0.4030846211652076,0.4237386644748916,0.4245257264069467,0.0,0.0,medium
osm_way_449632054,2021-06,6,0.4286577737095722,0.49164582723842953,0.502867969207572,0.16666666666666666,0.0,medium
osm_way_449632054,2021-07,2,0.3528498722343021,0.36157244552938456,0.3625416203399493,0.0,0.0,low
osm_way_449632054,2021-08,6,0.4507223050612677,0.5052303893262141,0.5077760097482408,0.16666666666666666,0.0,medium
osm_way_449632054,2021-09,4,0.41189323053767335,0.44538087380788666,0.4477500561183968,0.0,0.0,medium
osm_way_449632054,2021-10,6,0.36898723381999193,0.3836742702789199,0.3852152689438274,0.0,0.0,low
