tile,scene_id,hab_label,p_tab,frcnn_r50,frcnn_mb,frcnn_ssd
S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815_0000.jpg,S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815,0,0.1122765083616024,0.0,0.0,0.0
S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815_0001.jpg,S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815,0,0.1122765083616024,0.0,0.0,0.0
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0000.jpg,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,0,0.046694358023976,0.0,0.0,0.0
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0001.jpg,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,0,0.046694358023976,0.0,0.0,0.0
S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237_0000.jpg,S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237,0,0.000595258245997,0.0,0.0,0.0
S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237_0001.jpg,S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237,0,0.000595258245997,0.0,0.0,0.0
S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556_0000.jpg,S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556,0,0.2866955185008081,0.0,0.0,0.0
S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556_0001.jpg,S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556,0,0.2866955185008081,0.0,0.0,0.0
S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720_0000.jpg,S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720,0,0.0008767390481812,0.0,0.0,0.0
S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720_0001.jpg,S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720,0,0.0008767390481812,0.0,0.0,0.0
S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612_0000.jpg,S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612,0,0.0029001008326843,0.0,0.0,0.0
S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612_0001.jpg,S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612,0,0.0029001008326843,0.0,0.0,0.0
S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041_0000.jpg,S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041,0,0.0009402946337989,0.0,0.0,0.0
S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041_0001.jpg,S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041,0,0.0009402946337989,0.0,0.0,0.0
S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0000.jpg,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,0,0.2702624186848439,0.0,0.0,0.0
S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0001.jpg,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,0,0.2702624186848439,0.0,0.0,0.0
S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0000.jpg,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,0,0.4545251521912337,0.0,0.0,0.0
S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0001.jpg,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,0,0.4545251521912337,0.0,0.0,0.0
S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,0,0.0206033560044393,0.0,0.0,0.0
S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0001.jpg,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,0,0.0206033560044393,0.0,0.0,0.0
S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434_0000.jpg,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,0,0.0798491560399378,0.0,0.0,0.0
S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434_0001.jpg,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,0,0.0798491560399378,0.0,0.0,0.0
